first_corpus,first_item_id,first_title_sha256,first_label,second_corpus,second_item_id,second_title_sha256,second_label,corpus_pair,character_5gram_jaccard
ISOT,10977,3a219938471f8ff677c45d4f2d11016c6273bbd579f8fd3d12978ea9d304b717,0,ISOT,10978,8a42baec572fdbe3b77fefc85ad7f6d472535f99ca7ce9762b7273f51878dd7b,0,ISOT–ISOT,0.8571428571428571
ISOT,9544,2c01f0c156762cc87c42403333594e9f93a94b5720e80bd20ffbbd91a659628c,0,ISOT,11502,7f5b142e68c762e37153c6a6a09c5203d2efd130d8b4ef5d9e0253990326497d,0,ISOT–ISOT,0.8741258741258742
ISOT,10347,1fce06ae8a2dd6be56d11a0723cbf243a58a3e2658cb5b3bec2f71d613249e9b,0,ISOT,11691,f9d43fda10cf0c9e12b7df41eb1bf44bb1c0e82585e74d119492c2431b655746,0,ISOT–ISOT,0.9590163934426229
ISOT,12967,ca22dca6835dcc9eb0c78b51f654863f9039b163cda766c493bb72591b14a447,0,ISOT,12968,9c9b50846ff72c5e328afa53511314d274832cf436a4cae72a0b06d2c69549c6,0,ISOT–ISOT,0.8953488372093024
ISOT,12994,3f25d627f401e648cc86690249c4d3fc16558297d31f3e3124e8a265c2ef2fa6,0,ISOT,13428,4974650effc4dae7e3e02082bf783c228f8591ffb6577833a983168160aeb56b,0,ISOT–ISOT,0.8431372549019608
ISOT,9778,3edd9a2c5abaae51c0f65016a67b5cb84f3e01803a16c78682087a0ab801bbad,0,ISOT,17882,7f144aedc801066c353fa1d5a909420c615f687a108f7dbad5d92d99ed70d0f5,0,ISOT–ISOT,0.8020833333333334
ISOT,11079,97aa635ba137363ba9e839eac62293ef05c11e3f7d6ae1b7ebd155153d8a3c73,0,ISOT,18773,d1ea5672df1dfa27ba5e1619da453bb85f88c725ba4e46e2ce3da9b2cdc747be,0,ISOT–ISOT,0.9180327868852459
ISOT,9868,729dd30e2482d5701d1a5bd176933d2e037f998f82d2747c2e50ad1469ef12bd,0,ISOT,19855,39ba490cb31233f7880d174f19c13e5a4687a93e1895f0acc2def64269ae0801,0,ISOT–ISOT,0.7703703703703704
ISOT,21959,8692d1555e13a2153e014dfbf6f872ddcfa7ffce4ceed1a2caa1e6871bcb86d4,0,ISOT,22412,606bb3f768da0c9a2da7261d44c6714dcb3bba1e812b4b2e45bdefad0c1b7b05,0,ISOT–ISOT,0.8909090909090909
ISOT,22205,4f87fe5a8434e2126d29ee5c063985e8709a2a97f20c2ee4a231b27932016adc,0,ISOT,22489,742f81bae2d7e132f17a913150a7823f80549e684d9816d2c4f34315a6b45355,0,ISOT–ISOT,0.7272727272727273
