first_row_id,second_row_id,jaccard
1488,1535,0.9775051124744376
9107,9114,0.9734748010610079
9194,9195,0.8807785888077859
9189,9280,0.8597168597168597
9285,9299,0.881159420289855
9409,9412,0.8283687943262411
9449,9451,0.9130434782608695
9452,9461,0.8480243161094225
9529,9536,0.8772504091653028
9659,9660,0.8478915662650602
9668,9669,0.8471760797342193
9659,9671,0.8724173553719008
9660,9671,0.9419966536530954
9735,9738,0.9078947368421053
9666,9985,0.8773946360153256
10074,10160,0.8479117415287628
9991,10260,0.8650602409638555
10292,10312,0.9436178543461238
10362,10363,0.8790322580645161
10370,10392,0.8317399617590823
10288,10411,0.8489583333333334
10461,10465,0.9598997493734336
10508,10532,0.8567164179104477
10556,10563,0.8311688311688312
10293,10625,0.8203883495145631
10630,10632,0.8940432261465472
10676,10678,0.8718820861678005
10919,10920,0.8504453820909517
10928,10930,0.905511811023622
10951,10952,0.8791946308724832
10977,10978,0.8321678321678322
10983,10995,0.8357771260997068
11034,11043,0.8427128427128427
11047,11055,0.8656126482213439
11065,11067,0.8295795795795796
11051,11070,0.9241830065359478
11057,11071,0.8555466879489226
11077,11084,0.9325581395348838
11081,11087,0.8053359683794467
11145,11146,0.8072289156626506
11180,11186,0.8918032786885246
11078,11197,0.8758600917431193
11133,11342,0.873589164785553
10347,11691,0.9349593495934959
11982,12075,0.8427299703264095
10877,12373,0.8559782608695652
9731,12406,0.93814575010332
12967,12968,0.9911504424778761
9397,13091,0.8028673835125448
14121,14378,0.9659090909090909
11049,14786,0.9543183440399714
14568,15224,0.8638107416879796
11071,15317,0.8358608385370205
15812,15815,0.9230769230769231
9778,17882,0.9752066115702479
11079,18773,0.9975490196078431
9868,19855,0.9601769911504425
22448,22451,0.8439306358381503
23646,23647,0.9752808988764045
23728,23731,0.9837133550488599
23908,23947,0.971976401179941
26666,26786,0.8376010781671159
10675,26800,0.942219504738612
27891,27953,0.9192546583850931
28253,28254,0.9325842696629213
28473,28486,0.9547206165703276
29691,29701,0.9757453259221829
29691,29875,0.9256654947262682
29701,29875,0.9323232323232323
30108,30115,0.8053435114503816
30096,30118,0.8732732732732733
30115,30135,0.8826086956521739
30115,30164,0.8405797101449275
30135,30164,0.9480812641083521
30136,30167,0.9070533948582729
30167,30186,0.9187374076561451
30136,30186,0.8769430051813472
30220,30236,0.8341013824884793
30240,30288,0.9
30236,30289,0.967814371257485
30220,30289,0.8302752293577982
30380,30441,0.8423707440100883
30480,30489,0.8997005988023952
30966,31023,0.822722283205269
31392,31477,0.9511465603190429
31393,31478,0.8721374045801527
31963,31987,0.9583333333333334
33374,33383,0.8669001751313485
33372,33384,0.8976377952755905
33960,34040,0.9458794587945879
34040,34151,0.8199780461031834
33960,34151,0.8240534521158129
34398,34415,0.8320126782884311
34415,34441,0.8147512864493996
35494,35589,0.8127147766323024
35607,35950,0.9176346356916578
35609,35967,0.9288577154308617
35608,35970,0.9776785714285714
39807,39808,0.8633540372670807
40413,40497,0.9416909620991254
40922,40925,0.9885222381635581
42825,43595,0.9627059843885516
44030,44127,0.8350253807106599
